id;type;name;email;phone;unit;street;number;zip;city;country
1;OPERATION;Tasty applications Yen;Salvatore.Leuschke@hotmail.com;896-623-4926 x79540;Barbados Assistant Personal;Witting Meadows;Buckinghamshire Michigan vertical;withdrawal;North Tylerville;Falkland Islands (Malvinas)
2;MANAGER;open;Geovanni11@hotmail.com;404-238-2728 x24937;magenta Handcrafted;Kaleb Valley;full-range Card Pants;transmit;Coleshire;Zambia
3;OPERATION;South;Arely.Jakubowski@hotmail.com;(711) 926-7516 x078;Future Assistant;Senger Fords;communities;architect strategize engage;Newark;New Zealand
4;MANAGER;Awesome Organized RAM;Maia3@hotmail.com;(412) 446-0670;Yen;Jeremie Key;Licensed;Fresh withdrawal Colorado;Alexandreaborough;American Samoa
5;MANAGER;Dynamic Steel;Lacey.Heller16@hotmail.com;1-512-938-7906 x69588;Administrator Account synergistic;Malachi Coves;Account;Peso back-end Frozen;Westhaven;Vanuatu
6;OPERATION;strategize engage Hills;Creola.Senger45@hotmail.com;406-684-4567;International;Marcos Loop;Costa Corporate state;User-friendly;Ashburn;Tuvalu
7;MANAGER;index CSS;Reuben46@hotmail.com;313-820-7883 x95892;proactive Sausages Hungary;Thompson Squares;CSS Dale non-volatile;Personal best-of-breed;Fisherburgh;Panama
8;OPERATION;Avon;Susana_Koss@yahoo.com;565.805.8275;ubiquitous;Johnny Dam;Soap convergence;Ferry Michigan Fresh;Celinechester;Bulgaria
9;BILLING;channels;Reed24@yahoo.com;571.238.6387 x1734;Plastic Unbranded;Chase Summit;Baby;Gloves connecting;Lake Lewshire;Falkland Islands (Malvinas)
10;OPERATION;Jewelery hacking;Judd_Lebsack@yahoo.com;347.624.4551 x0952;Gorgeous;Alphonso Summit;deposit;Manors;West Billie;Reunion
