id;code;name;country;membership;state;close_reason;email_domains;vat_id;bank;iban;logo;notes;created;updated;trialed;declined;activated;closed
1;meh monumental;hmph;Sweden;gondola;NEW;ew extroverted;besides along into;squeal hmph inasmuch;without to;ES3187541598616620955830;duh;absent;2023-11-13T03:44:41;2023-11-13T05:35:33;2023-11-13T16:29:41;2023-11-13T13:40:13;2023-11-13T05:38:04;2023-11-13T20:23:26
2;properly where subsection;autowind but;Wallis and Futuna;envious what mid;TRIAL;whoever until;whose;even;oof snitch loudly;HR5782525038005759007;scholarly sleepily;since;2023-11-13T08:07:22;2023-11-13T20:11:25;2023-11-13T12:01:24;2023-11-13T00:43:49;2023-11-13T03:04:54;2023-11-13T06:55:06
3;who stitch;the quickly;Samoa;incidentally;TRIAL;deeply ouch anti;scholarly accommodation;joyously;amid unlike;CY08069345229552L1675T254172;peer politely;uh-huh idealistic anti;2023-11-13T12:26:53;2023-11-13T14:26:05;2023-11-13T13:49:35;2023-11-13T14:02:12;2023-11-13T03:44:35;2023-11-13T12:28:01
4;toward thirst pfft;whereas;Portugal;potter psst;ACTIVE;meteorology royal;fragment;daintily hiccups above;nearer boohoo;SM52K00938553617661978M3Z82;than from;whose;2023-11-13T19:42:25;2023-11-13T02:55:08;2023-11-13T03:28:03;2023-11-13T06:35:40;2023-11-13T00:28:30;2023-11-13T18:29:24
5;reformulate boohoo how;of mmm;Maldives;overstay but;TRIAL;unto proposition fully;oh ordinary;dissuade;rightfully;BG76KLZK18107752630411;deserted;yippee stingy;2023-11-13T10:27:23;2023-11-13T13:44:28;2023-11-13T20:10:09;2023-11-13T11:22:47;2023-11-13T20:18:47;2023-11-13T14:13:59
6;lovable rapidly so;ouch spruce that;Germany;fooey;TRIAL;latex;integer than venerated;hence exhausted;unto partially pish;LV29FKNA0O625616PT468;brr panic;between fatally rightfully;2023-11-13T00:56:58;2023-11-13T10:44:08;2023-11-13T08:05:51;2023-11-13T13:33:04;2023-11-12T23:16:06;2023-11-13T00:27:23
7;oh square;virtual pace scope;Slovenia;yippee oof;CLOSED;on volunteering queasily;inasmuch procure;worriedly mysteriously;snake;AT577598730077103495;gadzooks;whenever until;2023-11-13T13:47:35;2023-11-13T11:41:43;2023-11-13T03:30:44;2023-11-13T20:19:19;2023-11-13T12:20:09;2023-11-13T20:41:56
8;pfft whenever jolt;decide phew;Madagascar;speedy tugboat bottom;ACTIVE;pfft;ouch phooey;dismal past questioningly;creepy;NL69JTIN4760410062;ick;cocktail forenenst frenetically;2023-11-13T07:03:20;2023-11-13T15:46:33;2023-11-13T06:33:33;2023-11-13T02:58:19;2023-11-12T21:41:33;2023-11-13T08:15:09
9;boo atop;generally poorly satellite;Libyan Arab Jamahiriya;powerfully panic pace;CLOSED;and;willfully;sadly yum whereas;adventurously;TN3705004580700740200919;chest but till;icon after whoever;2023-11-13T18:30:14;2023-11-12T21:57:28;2023-11-13T13:35:00;2023-11-13T13:51:26;2023-11-13T16:59:02;2023-11-13T04:15:32
10;ouch;stretch rightfully;Nepal;excitedly although since;TRIAL;tech;grant;psst wherever;anti unto;LU804445Y70332Y46201;where;lark demonstrate;2023-11-13T00:37:10;2023-11-13T00:37:07;2023-11-13T01:06:47;2023-11-13T15:17:08;2023-11-12T21:54:37;2023-11-13T02:20:54
