id;period;license;email
1;streamline navigate;Graphic Card;Ephraim_Bogisich88@hotmail.com
2;capability Handmade;Liechtenstein;Janick_Feil@gmail.com
3;Direct;Hat hacking;Kennedy.Ryan@hotmail.com
4;infrastructures Forest;Tuna Fords Human;Melody41@yahoo.com
5;Secured Squares;virtual Mouse redundant;Rowland59@hotmail.com
6;bifurcated Ramp;Architect;Kattie_Larkin@gmail.com
7;Account global;bypass Sweden Oklahoma;Candelario87@gmail.com
8;redundant;transmitter Steel;Murphy22@hotmail.com
9;orchid generate;Steel;Fritz_Schumm50@yahoo.com
10;application;Borders;Russel.McCullough14@hotmail.com
